Time,CH1
-0.0001719367588932806,0.0012
-0.0001679841897233201,-0.0012
-0.0001640316205533596,-0.01
-0.0001600790513833991,0.008
-0.0001561264822134386,-0.0044
-0.00015217391304347808,0.0016
-0.00014822134387351758,-0.004
-0.0001442687747035573,-0.0032
-0.0001403162055335968,-0.0016
-0.0001363636363636363,0.0032
-0.00013241106719367578,-0.0076
-0.00012845849802371528,-0.0076
-0.00012450592885375478,-0.0012
-0.00012055335968379427,-0.0076
-0.00011660079051383377,-0.004
-0.00011264822134387348,-0.005600000000000001
-0.00010869565217391298,-0.0088
-0.00010474308300395248,-0.0052
-0.00010079051383399197,-0.0024
-9.683794466403147e-05,0.0012
-9.288537549407097e-05,-0.0088
-8.893280632411046e-05,0.0024
-8.498023715415018e-05,0.0004
-8.102766798418967e-05,-0.0104
-7.707509881422917e-05,-0.014000000000000002
-7.312252964426866e-05,-0.002
-6.916996047430816e-05,-0.002
-6.521739130434766e-05,0.0032
-6.126482213438715e-05,0.0024
-5.731225296442665e-05,0.0172
-5.3359683794466364e-05,0.0012
-4.940711462450586e-05,0.002
-4.545454545454536e-05,-0.004
-4.1501976284584853e-05,-0.0012
-3.754940711462435e-05,0.0
-3.3596837944663846e-05,-0.0016
-2.9644268774703343e-05,0.0024
-2.5691699604743056e-05,-0.0268
-2.1739130434782553e-05,0.0004
-1.778656126482205e-05,0.0028000000000000004
-1.3833992094861546e-05,0.0012
-9.881422924901042e-06,0.0028000000000000004
-5.9288537549405385e-06,-0.006
-1.976284584980035e-06,-0.0044
1.9762845849804686e-06,-0.0044
5.928853754940755e-06,-0.0028000000000000004
9.881422924901259e-06,-0.006
1.3833992094861762e-05,-0.006
1.7786561264822266e-05,0.0004
2.173913043478277e-05,-0.0092
2.5691699604743273e-05,-0.002
2.9644268774703776e-05,-0.0036
3.359683794466406e-05,0.0028000000000000004
3.754940711462457e-05,0.0012
4.150197628458507e-05,-0.0096
4.5454545454545574e-05,-0.0128
4.940711462450608e-05,-0.0072
5.335968379446658e-05,-0.0024
5.7312252964427084e-05,0.0
6.126482213438759e-05,-0.002
6.521739130434787e-05,0.0132
6.916996047430838e-05,-0.0016
7.312252964426888e-05,-0.0032
7.707509881422939e-05,-0.0044
8.102766798418989e-05,-0.0024
8.498023715415039e-05,-0.0052
8.89328063241109e-05,-0.002
9.288537549407118e-05,-0.004
9.683794466403169e-05,-0.0012
0.00010079051383399219,-0.0008
0.00010474308300395269,-0.0044
0.0001086956521739132,-0.0032
0.0001126482213438737,-0.0048
0.0001166007905138342,-0.0048
0.00012055335968379471,-0.0012
0.000124505928853755,0.0008
0.0001284584980237155,-0.0024
0.000132411067193676,-0.0024
0.0001363636363636365,0.0
0.000140316205533597,0.0132
0.0001442687747035575,-0.005600000000000001
0.00014822134387351802,-0.0004
0.0001521739130434783,-0.004
0.0001561264822134388,0.0144
0.0001600790513833993,-0.002
0.0001640316205533598,-0.005600000000000001
0.00016798418972332032,-0.005600000000000001
0.00017193675889328082,0.0
0.00017588932806324132,-0.0012
0.00017984189723320183,-0.0024
0.0001837944664031621,0.0008
0.00018774703557312262,-0.004
0.00019169960474308312,-0.002
0.00019565217391304362,-0.0012
0.00019960474308300413,-0.0016
0.00020355731225296463,-0.0004
0.00020750988142292513,-0.0012
0.00021146245059288542,-0.0024
0.00021541501976284592,-0.004
0.00021936758893280643,0.0
0.00022332015810276693,0.0288
0.00022727272727272744,-0.0076
0.00023122529644268794,0.0024
0.00023517786561264844,-0.0024
0.00023913043478260895,-0.0024
0.00024308300395256923,0.0048
0.00024703557312252974,-0.0008
0.00025098814229249024,-0.0044
0.00025494071146245074,-0.0016
0.00025889328063241125,0.0008
0.00026284584980237175,0.0004
0.00026679841897233225,0.0
0.00027075098814229254,0.0028000000000000004
0.00027470355731225304,-0.0032
0.00027865612648221355,0.0
0.00028260869565217405,-0.0052
0.00028656126482213455,0.0012
0.00029051383399209506,0.0012
0.00029446640316205556,0.0032
0.00029841897233201607,-0.002
0.00030237154150197635,0.0028000000000000004
0.00030632411067193686,-0.0024
0.00031027667984189736,-0.0044
0.00031422924901185786,0.0044
0.00031818181818181837,0.0
0.00032213438735177887,-0.0004
0.0003260869565217394,-0.0076
0.0003300395256916999,0.0
0.00033399209486166016,-0.0044
0.00033794466403162067,-0.0032
0.00034189723320158117,0.0
0.0003458498023715417,-0.0028000000000000004
0.0003498023715415022,0.0
0.0003537549407114627,-0.0008
0.0003577075098814232,-0.0012
0.00036166007905138347,0.01
0.000365612648221344,-0.0032
0.0003695652173913045,-0.002
0.000373517786561265,-0.0004
0.0003774703557312255,-0.004
0.000381422924901186,-0.0088
0.0003853754940711465,-0.0044
0.000389328063241107,-0.0232
0.0003932806324110673,0.0004
0.0003972332015810278,-0.0096
0.0004011857707509883,-0.0068000000000000005
0.0004051383399209488,0.0268
0.0004090909090909093,-0.002
0.0004130434782608698,0.0016
0.0004169960474308303,0.0
0.0004209486166007906,-0.0168
0.0004249011857707511,-0.0024
0.0004288537549407116,-0.008
0.0004328063241106721,-0.004
0.0004367588932806326,0.0012
0.0004407114624505931,0.0012
0.0004446640316205536,0.0028000000000000004
0.0004486166007905141,0.004
0.0004525691699604744,0.0016
0.0004565217391304349,0.0004
0.0004604743083003954,0.0016
0.0004644268774703559,-0.0048
0.0004683794466403164,0.0008
0.0004723320158102769,-0.0016
